('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535147 function calls (516611 primitive calls) in 1.428 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
      164    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      258    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      219    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       12    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
       48    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       32    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1558(_ip_int_from_string)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      966    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       12    0.000    0.000    0.001    0.000 enum.py:899(_create_pseudo_member_)
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
      479    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       32    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
        2    0.000    0.000    0.009    0.004 request.py:1(<module>)
       37    0.000    0.000    0.000    0.000 __init__.py:648(_linkage_fixer)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       10    0.000    0.000    0.003    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
      405    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    42/30    0.000    0.000    0.012    0.000 css_parser.py:566(parse_pseudo_class)
      168    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
    64/31    0.000    0.000    0.139    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.074    0.074 css_parser.py:1(<module>)
       97    0.000    0.000    0.383    0.004 models.py:812(generate)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      316    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      333    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
        1    0.000    0.000    0.034    0.034 dammit.py:67(EntitySubstitution)
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      386    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
    38/29    0.000    0.000    0.012    0.000 css_parser.py:726(parse_pseudo_open)
       31    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
        1    0.000    0.000    1.177    1.177 financial.py:8(main)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        3    0.000    0.000    0.159    0.053 __init__.py:2(<module>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      331    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        6    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
    28/13    0.000    0.000    0.172    0.013 {built-in method builtins.__import__}
        4    0.000    0.000    0.000    0.000 threading.py:222(__init__)
      176    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       95    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      101    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       38    0.000    0.000    0.571    0.015 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.006    0.006 ssl.py:4(<module>)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       46    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
        2    0.000    0.000    0.055    0.027 exceptions.py:1(<module>)
       76    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
      402    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       35    0.000    0.000    0.020    0.001 element.py:2013(find_all)
       33    0.000    0.000    0.005    0.000 element.py:1987(find)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      427    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       28    0.000    0.000    0.000    0.000 ipaddress.py:2075(__init__)
       97    0.000    0.000    0.383    0.004 response.py:1011(stream)
       68    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
        1    0.000    0.000    0.112    0.112 connection.py:614(connect)
        2    0.000    0.000    0.001    0.000 request.py:2494(getproxies_environment)
       19    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        2    0.000    0.000    0.003    0.002 connection.py:1(<module>)
      164    0.000    0.000    0.000    0.000 os.py:748(encode)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
       71    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
    29/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      291    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      179    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       16    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      308    0.000    0.000    0.000    0.000 os.py:752(decode)
        1    0.000    0.000    0.000    0.000 adapters.py:100(HTTPAdapter)
       11    0.000    0.000    0.000    0.000 parse.py:428(urlsplit)
       17    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
        1    0.000    0.000    0.008    0.008 __init__.py:17(<module>)
        3    0.000    0.000    0.004    0.001 response.py:1(<module>)
       48    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
      146    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
        1    0.000    0.000    0.025    0.025 compat.py:1(<module>)
       53    0.000    0.000    0.001    0.000 typing.py:496(__init__)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:586(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:496(HTTPSConnection)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
        1    0.000    0.000    0.027    0.027 ssl_.py:1(<module>)
       10    0.000    0.000    0.005    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.010    0.010 connectionpool.py:1(<module>)
      101    0.000    0.000    0.000    0.000 re.py:270(escape)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       52    0.000    0.000    0.004    0.000 css_parser.py:1083(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.015    0.015 cookiejar.py:1(<module>)
        1    0.000    0.000    0.003    0.003 adapters.py:1(<module>)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1810(__init__)
  238/236    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
       19    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
       13    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       35    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       19    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
      700    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.003    0.003 ssl_.py:216(create_urllib3_context)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1417(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
