('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535209 function calls (516687 primitive calls) in 7.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.001    0.000 enum.py:899(_create_pseudo_member_)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       97    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       80    0.000    0.000    0.000    0.000 ipaddress.py:1151(_parse_octet)
       33    0.000    0.000    0.005    0.000 element.py:1987(find)
      333    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      101    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.001    0.000 request.py:2494(getproxies_environment)
       46    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
        2    0.000    0.000    0.003    0.001 models.py:1(<module>)
    38/29    0.000    0.000    0.012    0.000 css_parser.py:726(parse_pseudo_open)
      112    0.000    0.000    0.627    0.006 models.py:812(generate)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        2    0.000    0.000    0.007    0.004 request.py:1(<module>)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       71    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      164    0.000    0.000    0.000    0.000 os.py:748(encode)
        1    0.000    0.000    0.024    0.024 url.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
        1    0.000    0.000    0.000    0.000 adapters.py:100(HTTPAdapter)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.003    0.002 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:17(<module>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2075(__init__)
       37    0.000    0.000    0.000    0.000 __init__.py:648(_linkage_fixer)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
      427    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       23    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      308    0.000    0.000    0.000    0.000 os.py:752(decode)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        2    0.000    0.000    0.053    0.027 exceptions.py:1(<module>)
      291    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 adapters.py:1(<module>)
      101    0.000    0.000    0.000    0.000 re.py:270(escape)
      462    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.006    0.006 ssl.py:4(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
  237/235    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
