('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    299/3    0.000    0.000    0.280    0.093 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      271    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      271    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      271    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
    271/3    0.001    0.000    0.282    0.094 <frozen importlib._bootstrap>:986(_find_and_load)
      270    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
    270/3    0.001    0.000    0.282    0.094 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      267    0.000    0.000    0.000    0.000 dataclasses.py:389(<genexpr>)
      265    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      264    0.000    0.000    0.001    0.000 typing.py:685(<genexpr>)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      264    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      253    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      246    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      246    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      246    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      246    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
      244    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  244/241    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
    244/3    0.001    0.000    0.281    0.094 <frozen importlib._bootstrap>:650(_load_unlocked)
      243    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      226    0.001    0.000    0.001    0.000 typing_extensions.py:183(_collect_type_vars)
      226    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      226    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      226    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
  217/216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      215    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      215    0.003    0.000    0.003    0.000 {built-in method io.open_code}
      215    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
      215    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      215    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      215    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      215    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      215    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
    215/3    0.001    0.000    0.281    0.094 <frozen importlib._bootstrap_external>:842(exec_module)
      212    0.000    0.000    0.001    0.000 typing.py:172(_collect_type_vars)
  211/173    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
  209/147    0.001    0.000    0.007    0.000 typing.py:347(__getitem__)
      195    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      194    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      194    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      194    0.000    0.000    0.039    0.000 sre_compile.py:598(_code)
      194    0.001    0.000    0.111    0.001 sre_compile.py:759(compile)
      194    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
